n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
2315,0.07602591792656588,-0.4258779868089645,6.914038824426362,13.0,-326.16409129097195,413.39285714285717,YES,0.1,True,True,True,0.0
2251,0.06663705019991115,-0.4352668545356192,6.854450444835415,13.0,-330.4816709199272,401.9642857142857,YES,0.1,True,True,True,0.25
2229,0.063257065948856,-0.4386468387866744,6.862660048855463,13.0,-333.4468581523998,398.03571428571433,YES,0.1,True,True,True,0.33
2173,0.07547169811320754,-0.42643220662232284,4.097250914847534,13.0,-193.53597216410935,388.03571428571433,YES,0.12,False,False,False,0.0
2113,0.06720302886890676,-0.4347008758666236,4.0664035003155385,13.0,-195.8033534637344,377.3214285714286,YES,0.12,False,False,False,0.25
2096,0.06440839694656489,-0.4374955077889655,4.064117584156102,13.0,-196.95136831692233,374.28571428571433,YES,0.12,False,False,False,0.33
1882,0.07492029755579172,-0.42698360717973866,4.306047700531838,13.0,-203.66161253846067,336.0714285714286,YES,0.12,False,False,True,0.0
1826,0.06681270536692223,-0.43509119936860813,4.273763866831522,13.0,-205.9728420891265,326.0714285714286,YES,0.12,False,False,True,0.25
1810,0.06353591160220995,-0.4383679931333204,4.2722873469715745,13.0,-207.45238490372017,323.2142857142857,YES,0.12,False,False,True,0.33
2151,0.06927010692701069,-0.4326337978085197,4.077474526156276,13.0,-195.40282593804747,384.1071428571429,YES,0.12,False,True,False,0.0
2096,0.0625,-0.43940390473553037,4.045944254962881,13.0,-196.9259487477758,374.28571428571433,YES,0.12,False,True,False,0.25
2078,0.060153994225216556,-0.4417499105103138,4.0462417856750905,13.0,-197.99190794493015,371.0714285714286,YES,0.12,False,True,False,0.33
1857,0.06623586429725363,-0.4356680404382767,4.287959553896541,13.0,-206.93098371596605,331.6071428571429,YES,0.12,False,True,True,0.0
1804,0.058758314855875834,-0.4431455898796545,4.25592470751062,13.0,-208.91013396847646,322.14285714285717,YES,0.12,False,True,True,0.25
1789,0.05645612073784237,-0.44544778399768803,4.255812629949559,13.0,-209.9899168748755,319.4642857142857,YES,0.12,False,True,True,0.33
2173,0.07547169811320754,-0.42643220662232284,7.26680358065821,13.0,-343.251591063627,388.03571428571433,YES,0.12,True,False,False,0.0
2113,0.06720302886890676,-0.4347008758666236,7.196416108953879,13.0,-346.51809810420156,377.3214285714286,YES,0.12,True,False,False,0.25
2096,0.06440839694656489,-0.4374955077889655,7.192438990025073,13.0,-348.55307979864074,374.28571428571433,YES,0.12,True,False,False,0.33
1882,0.07492029755579172,-0.42698360717973866,7.851021810590591,13.0,-371.32699710270725,336.0714285714286,YES,0.12,True,False,True,0.0
1826,0.06681270536692223,-0.43509119936860813,7.77912848101795,13.0,-374.91289929399863,326.0714285714286,YES,0.12,True,False,True,0.25
1810,0.06353591160220995,-0.4383679931333204,7.777796253427707,13.0,-377.6717835265805,323.2142857142857,YES,0.12,True,False,True,0.33
2151,0.06927010692701069,-0.4326337978085197,7.219579265256428,13.0,-345.9803811072957,384.1071428571429,YES,0.12,True,True,False,0.0
2096,0.0625,-0.43940390473553037,7.146052823360981,13.0,-347.815773861915,374.28571428571433,YES,0.12,True,True,False,0.25
2078,0.060153994225216556,-0.4417499105103138,7.14940469828796,13.0,-349.8367996435264,371.0714285714286,YES,0.12,True,True,False,0.33
1857,0.06623586429725363,-0.4356680404382767,7.809856767161085,13.0,-376.89286085752815,331.6071428571429,YES,0.12,True,True,True,0.0
1804,0.058758314855875834,-0.4431455898796545,7.737357444120662,13.0,-379.8028610235235,322.14285714285717,YES,0.12,True,True,True,0.25
1789,0.05645612073784237,-0.44544778399768803,7.739969989263897,13.0,-381.9048900841343,319.4642857142857,YES,0.12,True,True,True,0.33
