min_hr,min_mkts,min_mos,direction,entry_lo,entry_hi,n_windows,avg_HR,std_HR,min_HR,avg_ROI,std_ROI,min_ROI,total_PnL,avg_PnL,total_signals,avg_signals,avg_sharpe,min_sharpe,worst_dd,avg_pf,min_pf,avg_pct_pos_wk,avg_pool,avg_hhi,avg_top3,pos_windows,win_rate_windows,stability_score
0.6,30,9,NO,0.0,0.7,5,0.48156,0.019029661058463432,0.4605,109.61600000000001,116.24670201773469,-2.4,666353.0,133270.6,8498,1699.6,3.3899999999999997,-0.71,25486.3,67.94800000000001,0.73,0.5756,110.6,0.4822,0.6654,4,0.8,50.77264899113267
0.6,10,9,NO,0.0,0.7,5,0.48156,0.019029661058463432,0.4605,109.61600000000001,116.24670201773469,-2.4,666353.0,133270.6,8498,1699.6,3.3899999999999997,-0.71,25486.3,67.94800000000001,0.73,0.5756,110.6,0.4822,0.6654,4,0.8,50.77264899113267
0.7,10,3,NO,0.0,0.5,5,0.36698,0.07136169841028168,0.26,121.3,145.43999845297031,2.46,337329.0,67465.8,3544,708.8,2.534,0.75,9454.8,18.845999999999997,1.29,0.5934,721.8,0.2706,0.4704,5,1.0,49.31800077351484
0.65,50,9,ALL,0.0,0.5,5,0.36208,0.03868451886737122,0.3168,118.63399999999999,145.41052362191672,6.29,316815.0,63363.0,3551,710.2,3.482,1.91,5425.3,308.02,2.26,0.6599999999999999,72.4,0.38578,0.6198,5,1.0,47.815738189041625
0.65,30,9,ALL,0.0,0.5,5,0.36196,0.03862367149818877,0.3168,118.582,145.4374034421682,6.29,316715.0,63343.0,3552,710.4,3.4799999999999995,1.91,5425.3,308.006,2.26,0.6599999999999999,72.6,0.38570000000000004,0.6195999999999999,5,1.0,47.75029827891589
0.65,10,9,ALL,0.0,0.5,5,0.36196,0.03862367149818877,0.3168,118.582,145.4374034421682,6.29,316715.0,63343.0,3552,710.4,3.4799999999999995,1.91,5425.3,308.006,2.26,0.6599999999999999,72.6,0.38570000000000004,0.6195999999999999,5,1.0,47.75029827891589
0.75,30,3,NO,0.0,0.7,5,0.54862,0.08864926395633527,0.4349,136.74200000000002,176.06587664848632,-6.37,348023.0,69604.6,2831,566.2,3.19,-2.02,11250.6,66.912,0.47,0.6802,182.0,0.34168000000000004,0.5358,4,0.8,46.798061675756855
0.85,10,9,NO,0.3,0.8,3,0.9159,0.048804917784993795,0.8667,34.300000000000004,1.2636059512363786,33.13,2423.0,807.6666666666666,70,23.333333333333332,8.2,5.56,32.6,inf,30.3,0.9073333333333333,8.0,0.35533333333333333,0.798,3,1.0,43.60719702438181
0.85,50,9,NO,0.3,0.8,3,0.9159,0.048804917784993795,0.8667,34.300000000000004,1.2636059512363786,33.13,2423.0,807.6666666666666,70,23.333333333333332,8.2,5.56,32.6,inf,30.3,0.9073333333333333,8.0,0.35533333333333333,0.798,3,1.0,43.60719702438181
0.85,30,9,NO,0.3,0.8,3,0.9159,0.048804917784993795,0.8667,34.300000000000004,1.2636059512363786,33.13,2423.0,807.6666666666666,70,23.333333333333332,8.2,5.56,32.6,inf,30.3,0.9073333333333333,8.0,0.35533333333333333,0.798,3,1.0,43.60719702438181
